日期時間,奈秒,經度,緯度,電流強度(kA),雷擊型態
2015-11-01 03:19:16,567900000,23.5198,121.9744,-,IC
2015-11-01 07:31:14,932000000,22.969,121.1542,-,IC
2015-11-01 13:36:05,153700000,22.787,121.6158,-,IC
2015-11-01 17:32:16,338000000,23.1993,121.7628,-,IC
2015-11-01 17:58:45,131300000,23.4843,122.5645,-,IC
2015-11-01 17:58:48,163500000,23.5,122.6364,-,IC
2015-11-01 18:07:56,897000000,23.5507,122.566,-,IC
2015-11-01 22:03:13,569000000,23.2916,122.092,-,IC
2015-11-01 22:13:42,611500000,23.3634,122.0348,-,IC
2015-11-01 22:19:36,860300000,23.2303,121.761,-,IC
2015-11-01 22:47:20,808000000,23.24,121.7681,-,IC
2015-11-02 00:40:57,99400000,23.2261,121.7648,-,IC
2015-11-02 00:40:57,99700000,23.234,121.7561,-,IC
2015-11-02 01:39:53,436700000,23.2246,121.7634,-,IC
2015-11-02 01:53:11,495800000,23.2105,121.7753,-,IC
2015-11-02 03:48:07,166300000,23.3627,122.0823,-,IC
2015-11-02 03:48:07,167000000,23.3826,122.0703,-,IC
2015-11-02 03:48:07,167100000,23.3361,122.114,-,IC
2015-11-02 03:48:21,951000000,23.3838,122.0763,-,IC
2015-11-02 03:50:22,549800000,23.3685,122.0829,-,IC
2015-11-02 03:50:22,550600000,23.3505,122.1085,-,IC
2015-11-02 03:58:25,523800000,23.3654,122.0911,-,IC
2015-11-02 04:10:32,727700000,23.3085,122.1398,-,IC
2015-11-02 04:13:50,32300000,23.2069,121.7707,-,IC
2015-11-02 05:33:51,454400000,23.3329,122.1125,-,IC
2015-11-02 05:36:54,54200000,23.3523,122.0981,-,IC
2015-11-02 05:36:54,54600000,23.3209,122.1252,-,IC
2015-11-02 08:43:58,256200000,23.42,121.6466,-,IC
2015-11-02 12:00:14,638100000,23.1001,121.5609,-,IC
2015-11-02 12:00:16,443500000,23.0693,121.5238,-,IC
2015-11-02 12:00:25,250300000,24.0842,122.3248,-,IC
2015-11-02 12:00:26,86700000,23.5571,121.6945,-,IC
2015-11-02 17:43:13,100700000,23.2783,122.112,-,IC
2015-11-02 17:48:45,170100000,23.2914,122.2733,-,IC
2015-11-02 17:48:46,636000000,23.3526,122.5929,-,IC
2015-11-02 17:49:08,81900000,23.3276,122.6214,-,IC
2015-11-02 17:49:09,169500000,23.2145,121.9183,-,IC
2015-11-02 18:12:34,728600000,23.1744,121.784,-,IC
2015-11-02 18:12:34,761000000,23.1825,121.7892,-,IC
2015-11-02 18:35:58,253300000,23.2685,122.1029,-,IC
2015-11-02 18:35:58,253800000,23.2528,122.1194,-,IC
2015-11-02 18:36:31,592600000,23.195,121.8137,-,IC
2015-11-02 19:01:03,293600000,23.2544,122.1965,-,IC
2015-11-02 19:01:03,294100000,23.2702,122.1717,-,IC
2015-11-02 19:01:03,294300000,23.2325,122.2034,-,IC
2015-11-02 19:03:44,314300000,23.2094,121.9121,-,IC
2015-11-02 19:54:56,678900000,23.3901,122.6342,-,IC
2015-11-02 20:04:32,646200000,23.1788,121.7817,-,IC
2015-11-02 20:54:03,154900000,23.1768,121.7831,-,IC
2015-11-02 21:01:03,832300000,23.1568,121.6333,-,IC
2015-11-02 21:01:48,319800000,23.1835,121.752,-,IC
2015-11-02 21:10:57,895100000,23.1932,121.7788,-,IC
2015-11-02 21:16:57,133100000,23.198,121.7725,-,IC
2015-11-02 21:16:57,133400000,23.1971,121.7604,-,IC
2015-11-02 21:17:08,31800000,23.194,121.779,-,IC
2015-11-02 21:23:16,930300000,23.2779,122.101,-,IC
2015-11-02 21:23:16,930600000,23.2546,122.1139,-,IC
2015-11-02 22:20:55,940300000,23.1322,121.5771,-,IC
2015-11-02 22:20:57,621300000,23.1594,121.7658,-,IC
2015-11-02 22:20:57,660200000,23.178,121.7625,-,IC
2015-11-02 22:21:00,335500000,23.2193,122.047,-,IC
2015-11-02 22:35:04,617800000,23.2151,122.0532,-,IC
2015-11-02 22:38:35,480700000,23.239,122.1801,-,IC
2015-11-02 22:45:35,685400000,23.1841,121.7724,-,IC
2015-11-02 22:45:53,292200000,23.1736,121.7611,-,IC
2015-11-02 23:07:15,800700000,23.2052,121.8708,-,IC
2015-11-03 00:47:49,20600000,23.1756,121.7671,-,IC
2015-11-03 03:09:01,914900000,22.7409,122.3679,-,IC
2015-11-03 03:09:01,915000000,22.7315,122.3812,-,IC
2015-11-03 03:09:01,915100000,22.7566,122.3493,-,IC
2015-11-03 03:11:49,543300000,22.7354,122.3161,-,IC
2015-11-03 03:11:49,574700000,22.7549,122.2991,-,IC
2015-11-03 03:13:50,111000000,22.717,122.3789,-,IC
2015-11-03 03:13:50,148700000,22.7481,122.3002,-,IC
