經度緯度,電流強度(kA)0
21.7059118.962,-0
21.7758119.1148,-0
23.6677761077881118.037010192871,-126.4850
23.9752502441406118.167419433594,-104.5430
23.5603118.2263,-0
23.7553062438965118.04541015625,-43.86350
21.925119.1664,-0
21.961119.1992,-0
21.8852119.1594,-0
21.9358119.2568,-0
21.891119.1778,-0
24.3995121.8165,-0
21.9773119.2481,-0
24.2633438110352118.255218505859,26.47350
22.0692501068115118.08390045166,-118.6590
24.0755119.8789,-0
24.3564796447754118.27082824707,-56.70250
24.3907775878906118.47762298584,-177.0080
22.026119.3179,-0
22.0195119.2138,-0
24.4982280731201118.50447845459,-21.4230
24.4224700927734118.409454345703,31.35750
24.2812366485596118.361396789551,-21.81150
24.568115234375118.679779052734,-11.6180
21.8733119.3042,-0
21.8615119.228,-0
23.8631118.3651,-0
23.869118.3566,-0
24.0501346588135118.603164672852,15.540
22.0072119.3638,-0
21.9902119.3485,-0
23.7112118.2807,-0
21.983119.3262,-0
22.0056119.3358,-0
23.8919118.5382,-0
21.9672119.2363,-0
22.0472119.38,-0
24.6441040039062119.231399536133,-11.41450
24.7130279541016119.159805297852,12.2470
23.6064118.3766,-0
23.579118.414,-0
23.596118.3373,-0
23.6104118.3122,-0
23.5654118.3706,-0
24.7291870117188119.211090087891,15.18850
24.6822776794434119.352928161621,15.85450
24.0452119.38,-0
24.0666119.4158,-0
24.0533119.4313,-0
23.6783118.2786,-0
23.8681774139404118.426597595215,12.52450
23.7357118.3521,-0
23.6187118.4181,-0
23.6587118.3119,-0
23.6349118.352,-0
23.6626118.3912,-0
23.663118.5057,-0
23.674118.4683,-0
23.2575118.4176,-0
22.0077119.3027,-0
23.4646118.3622,-0
23.4385118.4007,-0
23.4373118.4412,-0
23.4649118.5226,-0
23.4812118.3583,-0
23.4814118.401,-0
23.4495118.4323,-0
23.4353118.4608,-0
23.0369119.0967,-0
23.3699118.546,-0
23.384118.5192,-0
23.3785118.5565,-0
23.4274118.5136,-0
23.3989118.5485,-0
23.3884118.599,-0
23.4105118.5534,-0
22.0246119.3529,-0
23.3558118.5407,-0
23.3073118.4876,-0
23.3042118.4998,-0
23.321118.4663,-0
22.9268118.951,-0
22.9254119.0551,-0
23.6912460327148118.531829833984,14.2080
23.4904118.522,-0
23.4637118.502,-0
23.4672118.4254,-0
22.9921119.1345,-0
23.0622119.0269,-0
23.0182119.0726,-0
23.0113119.0526,-0
23.0242119.0516,-0
22.0689119.3491,-0
22.0933119.4155,-0
23.106119.1501,-0
23.3010330200195119.141273498535,12.9130
22.4249119.7128,-0
22.4285119.695,-0
22.8001022338867118.852188110352,20.3130
22.4158119.7781,-0
23.1472119.0947,-0
22.555119.1137,-0
23.1931119.2219,-0
22.639118.9538,-0
22.4842119.6439,-0
22.4694119.6548,-0
22.5894119.0419,-0
22.6177119.04,-0
22.5887119.0291,-0
23.0135288238525119.144493103027,14.33750
22.6979119.0697,-0
22.68119.0644,-0
22.6384119.0489,-0
22.6455119.0556,-0
22.03119.3163,-0
22.0364119.2917,-0
22.7563381195068118.764533996582,-28.65650
22.4706119.6564,-0
22.0500564575195118.571441650391,-106.9670
22.4684119.6572,-0
22.4723119.6397,-0
22.4054119.7965,-0
22.3909119.8351,-0
22.5531118.9905,-0
22.6336118.9329,-0
22.6284118.9866,-0
22.6391118.9085,-0
22.6698118.8752,-0
22.5651912689209118.546180725098,-31.1540
22.4524119.6303,-0
22.583119.0244,-0
22.5668119.0209,-0
22.4606119.6568,-0
22.0616119.2887,-0
22.6227118.9664,-0
22.6622118.8648,-0
22.5405119.0202,-0
22.6442119.0472,-0
22.5627119.0463,-0
22.4168119.657,-0
22.1185119.3983,-0
22.4321119.5873,-0
22.5281119.0672,-0
22.539119.0247,-0
22.5737118.992,-0
22.5478119.0269,-0
22.5047119.0868,-0
22.5869119.0163,-0
22.5626119.0346,-0
22.5895118.9645,-0
22.6064118.9816,-0
22.5903118.9805,-0
25.7072792053223119.080184936523,-14.63350
22.3197326660156119.016181945801,-58.6450
25.8222980499268119.560012817383,-30.9320
22.1057119.3013,-0
22.0841119.281,-0
22.1154119.4114,-0
22.1129119.3837,-0
26.0138893127441119.44841003418,-36.38950
25.1124120.2309,-0
25.5236167907715119.692153930664,-91.6120
25.8028984069824119.574417114258,-34.50250
25.8368625640869119.558952331543,-32.94850
25.8063430786133119.576698303223,11.19250
25.7974128723145119.562240600586,-15.26250
25.1158120.2957,-0
22.0637119.3223,-0
22.1017119.4053,-0
25.7860889434814119.556861877441,-13.93050
25.8205184936523119.539535522461,-117.90
25.0579120.3462,-0
25.6025772094727119.155410766602,11.6920
26.4069120.3608,-0
26.0087120.4642,-0
22.8069120.5683,-0
25.7513389587402118.814651489258,-25.1970
25.882120.5254,-0
26.0423120.4882,-0
22.7058563232422120.571800231934,-6.60450
25.5322856903076119.13697052002,-15.0220
25.5608139038086119.033805847168,-22.62550
22.7949123382568120.599395751953,4.56950
22.702600479126120.615142822266,-4.6990
25.5193328857422119.148002624512,-15.5030
25.5423011779785119.10595703125,-11.2110
22.4058120.634,-0
25.5416564941406119.146026611328,-15.0960
22.711784362793120.595977783203,-48.3590
22.7387428283691120.654090881348,-5.4760
25.5920352935791119.067207336426,-57.29450
22.825120.5811,-0
22.7856120.5594,-0
22.6646120.5965,-0
22.7761120.5677,-0
22.7199287414551120.611923217773,-4.9580
25.4568023681641119.125068664551,-15.9840
24.9456120.1878,-0
24.9332120.2032,-0
22.8496437072754120.612983703613,-6.3270
25.5046672821045119.153099060059,-28.61950
22.9138120.5587,-0
25.5226535797119119.17805480957,11.2850
22.7877120.5381,-0
25.5281219482422119.169738769531,13.11650
25.5710983276367119.131309509277,-10.5080
22.7174243927002120.649871826172,-4.6620
25.4770774841309119.203437805176,-14.67050
22.7753120.51,-0
22.7175369262695120.603775024414,-5.8090
22.8693120.5136,-0
22.6136120.6027,-0
22.5836120.6093,-0
22.7841120.5415,-0
25.52268409729119.169532775879,-14.41150
22.8259120.5718,-0
22.8523120.5991,-0
25.5257987976074119.168441772461,-13.41250
25.5485515594482119.169441223145,-17.40850
22.8882120.626,-0
22.8493120.6264,-0
25.6108245849609119.003288269043,12.74650
25.4916648864746119.225364685059,-10.0640
22.7325553894043120.662406921387,-5.2540
22.6171120.6508,-0
22.5758120.6562,-0
22.556120.6359,-0
22.624120.6446,-0
25.4892330169678119.173835754395,-15.22550
25.5033626556396119.113639831543,-30.61750
25.4434432983398119.204383850098,-15.07750
22.6978120.6306,-0
22.731466293335120.654563903809,-43.7340
22.8743120.6134,-0
25.5022563934326119.163795471191,-25.5670
22.6307120.6711,-0
25.4709701538086119.150733947754,-15.11450
24.9248120.216,-0
25.5741958618164119.063514709473,-20.8310
22.9126120.6038,-0
25.4973087310791119.153800964355,-33.24450
22.8116120.6266,-0
22.8275120.6399,-0
22.8746120.6264,-0
22.9133120.6247,-0
22.8908120.59,-0
22.8964120.5981,-0
22.6903120.6221,-0
22.6169120.7734,-0
23.1984120.8276,-0
25.4632358551025119.181144714355,-12.56150
25.5558700561523119.155342102051,-36.6670
22.5666120.657,-0
25.4948616027832119.190269470215,-27.2320
22.8782120.578,-0
25.4829406738281119.171447753906,-28.3790
25.3666439056396119.302200317383,-12.78350
22.6647120.6246,-0
22.5934120.6691,-0
22.4075120.6312,-0
22.6192120.6592,-0
22.6032120.6599,-0
25.4824619293213119.177719116211,-20.8680
22.5902120.6413,-0
22.7224120.6256,-0
22.6216120.6575,-0
22.9525120.6442,-0
22.9009120.6178,-0
25.4968566894531119.179039001465,-59.1630
22.5956120.6676,-0
22.5903120.6397,-0
22.6033120.6488,-0
25.4901332855225119.181381225586,-35.57550
22.5516120.6597,-0
22.5625120.6647,-0
22.5871120.6652,-0
22.6058120.6652,-0
22.9111120.5836,-0
22.9223120.5877,-0
22.8763120.5731,-0
22.8501120.5715,-0
25.4965744018555119.207656860352,-34.87250
25.4941635131836119.223449707031,-27.4170
22.8472120.6008,-0
22.6026120.6362,-0
22.9596120.593,-0
22.5881120.6526,-0
22.639120.6372,-0
22.5826120.6563,-0
22.6764120.6192,-0
22.8388120.5869,-0
22.8101120.6096,-0
22.9051120.5937,-0
25.5445880889893119.180191040039,13.96750
22.8119120.6361,-0
25.4691181182861119.157897949219,-10.60050
25.1704044342041118.221885681152,-26.3070
22.6766120.628,-0
22.9147853851318120.626861572266,-4.440
22.8555120.6237,-0
25.3567676544189119.438682556152,11.08150
25.4982166290283119.170829772949,-13.96750
22.6762120.7673,-0
22.9416120.6169,-0
22.7843894958496120.661094665527,4.93950
22.6513120.6397,-0
22.6221120.6537,-0
22.6803120.6418,-0
22.6455120.628,-0
25.4780464172363119.197631835938,-28.3790
22.9070014953613120.621070861816,3.57050
22.6354120.6436,-0
25.1885852813721118.117729187012,-12.5060
25.1333789825439118.250831604004,-14.15250
24.7014120.2455,-0
22.7609786987305120.617408752441,5.67950
25.1310920715332118.269874572754,-14.6520
22.7216120.5844,-0
22.7646120.5478,-0
22.9186120.6125,-0
22.5323120.6349,-0
22.5131120.633,-0
22.5208120.6312,-0
22.5349120.6246,-0
22.5267120.6202,-0
22.4918120.6318,-0
22.8689120.5531,-0
22.7329120.5441,-0
22.5092120.6225,-0
22.5027120.6322,-0
22.4701120.6499,-0
22.5757120.616,-0
22.8533120.5646,-0
22.7755120.5638,-0
22.3391120.6534,-0
22.5120.6163,-0
22.7957120.5419,-0
22.481120.6302,-0
22.5059013366699120.694686889648,-5.7720
22.6640281677246120.615966796875,-4.71750
22.5127120.6347,-0
22.5609120.6285,-0
22.5172120.6266,-0
22.5264120.6079,-0
22.6074120.6294,-0
22.5373120.6126,-0
22.5527120.6086,-0
22.8305120.547,-0
22.5789120.6159,-0
22.8266120.5711,-0
22.7817120.584,-0
22.7501120.5183,-0
