經度緯度,經度,緯度,經度緯度
21.7059118.962,21.7059,118.962,21.7059118.962
21.7758119.1148,21.7758,119.1148,21.7758119.1148
23.6677761077881118.037010192871,23.6677761077881,118.037010192871,23.6677761077881118.037010192871
23.9752502441406118.167419433594,23.9752502441406,118.167419433594,23.9752502441406118.167419433594
23.5603118.2263,23.5603,118.2263,23.5603118.2263
23.7553062438965118.04541015625,23.7553062438965,118.04541015625,23.7553062438965118.04541015625
21.925119.1664,21.925,119.1664,21.925119.1664
21.961119.1992,21.961,119.1992,21.961119.1992
21.8852119.1594,21.8852,119.1594,21.8852119.1594
21.9358119.2568,21.9358,119.2568,21.9358119.2568
21.891119.1778,21.891,119.1778,21.891119.1778
24.3995121.8165,24.3995,121.8165,24.3995121.8165
21.9773119.2481,21.9773,119.2481,21.9773119.2481
24.2633438110352118.255218505859,24.2633438110352,118.255218505859,24.2633438110352118.255218505859
22.0692501068115118.08390045166,22.0692501068115,118.08390045166,22.0692501068115118.08390045166
24.0755119.8789,24.0755,119.8789,24.0755119.8789
24.3564796447754118.27082824707,24.3564796447754,118.27082824707,24.3564796447754118.27082824707
24.3907775878906118.47762298584,24.3907775878906,118.47762298584,24.3907775878906118.47762298584
22.026119.3179,22.026,119.3179,22.026119.3179
22.0195119.2138,22.0195,119.2138,22.0195119.2138
24.4982280731201118.50447845459,24.4982280731201,118.50447845459,24.4982280731201118.50447845459
24.4224700927734118.409454345703,24.4224700927734,118.409454345703,24.4224700927734118.409454345703
24.2812366485596118.361396789551,24.2812366485596,118.361396789551,24.2812366485596118.361396789551
24.568115234375118.679779052734,24.568115234375,118.679779052734,24.568115234375118.679779052734
21.8733119.3042,21.8733,119.3042,21.8733119.3042
21.8615119.228,21.8615,119.228,21.8615119.228
23.8631118.3651,23.8631,118.3651,23.8631118.3651
23.869118.3566,23.869,118.3566,23.869118.3566
24.0501346588135118.603164672852,24.0501346588135,118.603164672852,24.0501346588135118.603164672852
22.0072119.3638,22.0072,119.3638,22.0072119.3638
21.9902119.3485,21.9902,119.3485,21.9902119.3485
23.7112118.2807,23.7112,118.2807,23.7112118.2807
21.983119.3262,21.983,119.3262,21.983119.3262
22.0056119.3358,22.0056,119.3358,22.0056119.3358
23.8919118.5382,23.8919,118.5382,23.8919118.5382
21.9672119.2363,21.9672,119.2363,21.9672119.2363
22.0472119.38,22.0472,119.38,22.0472119.38
24.6441040039062119.231399536133,24.6441040039062,119.231399536133,24.6441040039062119.231399536133
24.7130279541016119.159805297852,24.7130279541016,119.159805297852,24.7130279541016119.159805297852
23.6064118.3766,23.6064,118.3766,23.6064118.3766
23.579118.414,23.579,118.414,23.579118.414
23.596118.3373,23.596,118.3373,23.596118.3373
23.6104118.3122,23.6104,118.3122,23.6104118.3122
23.5654118.3706,23.5654,118.3706,23.5654118.3706
24.7291870117188119.211090087891,24.7291870117188,119.211090087891,24.7291870117188119.211090087891
24.6822776794434119.352928161621,24.6822776794434,119.352928161621,24.6822776794434119.352928161621
24.0452119.38,24.0452,119.38,24.0452119.38
24.0666119.4158,24.0666,119.4158,24.0666119.4158
24.0533119.4313,24.0533,119.4313,24.0533119.4313
23.6783118.2786,23.6783,118.2786,23.6783118.2786
23.8681774139404118.426597595215,23.8681774139404,118.426597595215,23.8681774139404118.426597595215
23.7357118.3521,23.7357,118.3521,23.7357118.3521
23.6187118.4181,23.6187,118.4181,23.6187118.4181
23.6587118.3119,23.6587,118.3119,23.6587118.3119
23.6349118.352,23.6349,118.352,23.6349118.352
23.6626118.3912,23.6626,118.3912,23.6626118.3912
23.663118.5057,23.663,118.5057,23.663118.5057
23.674118.4683,23.674,118.4683,23.674118.4683
23.2575118.4176,23.2575,118.4176,23.2575118.4176
22.0077119.3027,22.0077,119.3027,22.0077119.3027
23.4646118.3622,23.4646,118.3622,23.4646118.3622
23.4385118.4007,23.4385,118.4007,23.4385118.4007
23.4373118.4412,23.4373,118.4412,23.4373118.4412
23.4649118.5226,23.4649,118.5226,23.4649118.5226
23.4812118.3583,23.4812,118.3583,23.4812118.3583
23.4814118.401,23.4814,118.401,23.4814118.401
23.4495118.4323,23.4495,118.4323,23.4495118.4323
23.4353118.4608,23.4353,118.4608,23.4353118.4608
23.0369119.0967,23.0369,119.0967,23.0369119.0967
23.3699118.546,23.3699,118.546,23.3699118.546
23.384118.5192,23.384,118.5192,23.384118.5192
23.3785118.5565,23.3785,118.5565,23.3785118.5565
23.4274118.5136,23.4274,118.5136,23.4274118.5136
23.3989118.5485,23.3989,118.5485,23.3989118.5485
23.3884118.599,23.3884,118.599,23.3884118.599
23.4105118.5534,23.4105,118.5534,23.4105118.5534
22.0246119.3529,22.0246,119.3529,22.0246119.3529
23.3558118.5407,23.3558,118.5407,23.3558118.5407
23.3073118.4876,23.3073,118.4876,23.3073118.4876
23.3042118.4998,23.3042,118.4998,23.3042118.4998
23.321118.4663,23.321,118.4663,23.321118.4663
22.9268118.951,22.9268,118.951,22.9268118.951
22.9254119.0551,22.9254,119.0551,22.9254119.0551
23.6912460327148118.531829833984,23.6912460327148,118.531829833984,23.6912460327148118.531829833984
23.4904118.522,23.4904,118.522,23.4904118.522
23.4637118.502,23.4637,118.502,23.4637118.502
23.4672118.4254,23.4672,118.4254,23.4672118.4254
22.9921119.1345,22.9921,119.1345,22.9921119.1345
23.0622119.0269,23.0622,119.0269,23.0622119.0269
23.0182119.0726,23.0182,119.0726,23.0182119.0726
23.0113119.0526,23.0113,119.0526,23.0113119.0526
23.0242119.0516,23.0242,119.0516,23.0242119.0516
22.0689119.3491,22.0689,119.3491,22.0689119.3491
22.0933119.4155,22.0933,119.4155,22.0933119.4155
23.106119.1501,23.106,119.1501,23.106119.1501
23.3010330200195119.141273498535,23.3010330200195,119.141273498535,23.3010330200195119.141273498535
22.4249119.7128,22.4249,119.7128,22.4249119.7128
22.4285119.695,22.4285,119.695,22.4285119.695
22.8001022338867118.852188110352,22.8001022338867,118.852188110352,22.8001022338867118.852188110352
22.4158119.7781,22.4158,119.7781,22.4158119.7781
23.1472119.0947,23.1472,119.0947,23.1472119.0947
22.555119.1137,22.555,119.1137,22.555119.1137
23.1931119.2219,23.1931,119.2219,23.1931119.2219
22.639118.9538,22.639,118.9538,22.639118.9538
22.4842119.6439,22.4842,119.6439,22.4842119.6439
22.4694119.6548,22.4694,119.6548,22.4694119.6548
22.5894119.0419,22.5894,119.0419,22.5894119.0419
22.6177119.04,22.6177,119.04,22.6177119.04
22.5887119.0291,22.5887,119.0291,22.5887119.0291
23.0135288238525119.144493103027,23.0135288238525,119.144493103027,23.0135288238525119.144493103027
22.6979119.0697,22.6979,119.0697,22.6979119.0697
22.68119.0644,22.68,119.0644,22.68119.0644
22.6384119.0489,22.6384,119.0489,22.6384119.0489
22.6455119.0556,22.6455,119.0556,22.6455119.0556
22.03119.3163,22.03,119.3163,22.03119.3163
22.0364119.2917,22.0364,119.2917,22.0364119.2917
22.7563381195068118.764533996582,22.7563381195068,118.764533996582,22.7563381195068118.764533996582
22.4706119.6564,22.4706,119.6564,22.4706119.6564
22.0500564575195118.571441650391,22.0500564575195,118.571441650391,22.0500564575195118.571441650391
22.4684119.6572,22.4684,119.6572,22.4684119.6572
22.4723119.6397,22.4723,119.6397,22.4723119.6397
22.4054119.7965,22.4054,119.7965,22.4054119.7965
22.3909119.8351,22.3909,119.8351,22.3909119.8351
22.5531118.9905,22.5531,118.9905,22.5531118.9905
22.6336118.9329,22.6336,118.9329,22.6336118.9329
22.6284118.9866,22.6284,118.9866,22.6284118.9866
22.6391118.9085,22.6391,118.9085,22.6391118.9085
22.6698118.8752,22.6698,118.8752,22.6698118.8752
22.5651912689209118.546180725098,22.5651912689209,118.546180725098,22.5651912689209118.546180725098
22.4524119.6303,22.4524,119.6303,22.4524119.6303
22.583119.0244,22.583,119.0244,22.583119.0244
22.5668119.0209,22.5668,119.0209,22.5668119.0209
22.4606119.6568,22.4606,119.6568,22.4606119.6568
22.0616119.2887,22.0616,119.2887,22.0616119.2887
22.6227118.9664,22.6227,118.9664,22.6227118.9664
22.6622118.8648,22.6622,118.8648,22.6622118.8648
22.5405119.0202,22.5405,119.0202,22.5405119.0202
22.6442119.0472,22.6442,119.0472,22.6442119.0472
22.5627119.0463,22.5627,119.0463,22.5627119.0463
22.4168119.657,22.4168,119.657,22.4168119.657
22.1185119.3983,22.1185,119.3983,22.1185119.3983
22.4321119.5873,22.4321,119.5873,22.4321119.5873
22.5281119.0672,22.5281,119.0672,22.5281119.0672
22.539119.0247,22.539,119.0247,22.539119.0247
22.5737118.992,22.5737,118.992,22.5737118.992
22.5478119.0269,22.5478,119.0269,22.5478119.0269
22.5047119.0868,22.5047,119.0868,22.5047119.0868
22.5869119.0163,22.5869,119.0163,22.5869119.0163
22.5626119.0346,22.5626,119.0346,22.5626119.0346
22.5895118.9645,22.5895,118.9645,22.5895118.9645
22.6064118.9816,22.6064,118.9816,22.6064118.9816
22.5903118.9805,22.5903,118.9805,22.5903118.9805
25.7072792053223119.080184936523,25.7072792053223,119.080184936523,25.7072792053223119.080184936523
22.3197326660156119.016181945801,22.3197326660156,119.016181945801,22.3197326660156119.016181945801
25.8222980499268119.560012817383,25.8222980499268,119.560012817383,25.8222980499268119.560012817383
22.1057119.3013,22.1057,119.3013,22.1057119.3013
22.0841119.281,22.0841,119.281,22.0841119.281
22.1154119.4114,22.1154,119.4114,22.1154119.4114
22.1129119.3837,22.1129,119.3837,22.1129119.3837
26.0138893127441119.44841003418,26.0138893127441,119.44841003418,26.0138893127441119.44841003418
25.1124120.2309,25.1124,120.2309,25.1124120.2309
25.5236167907715119.692153930664,25.5236167907715,119.692153930664,25.5236167907715119.692153930664
25.8028984069824119.574417114258,25.8028984069824,119.574417114258,25.8028984069824119.574417114258
25.8368625640869119.558952331543,25.8368625640869,119.558952331543,25.8368625640869119.558952331543
25.8063430786133119.576698303223,25.8063430786133,119.576698303223,25.8063430786133119.576698303223
25.7974128723145119.562240600586,25.7974128723145,119.562240600586,25.7974128723145119.562240600586
25.1158120.2957,25.1158,120.2957,25.1158120.2957
22.0637119.3223,22.0637,119.3223,22.0637119.3223
22.1017119.4053,22.1017,119.4053,22.1017119.4053
25.7860889434814119.556861877441,25.7860889434814,119.556861877441,25.7860889434814119.556861877441
25.8205184936523119.539535522461,25.8205184936523,119.539535522461,25.8205184936523119.539535522461
25.0579120.3462,25.0579,120.3462,25.0579120.3462
25.6025772094727119.155410766602,25.6025772094727,119.155410766602,25.6025772094727119.155410766602
26.4069120.3608,26.4069,120.3608,26.4069120.3608
26.0087120.4642,26.0087,120.4642,26.0087120.4642
22.8069120.5683,22.8069,120.5683,22.8069120.5683
25.7513389587402118.814651489258,25.7513389587402,118.814651489258,25.7513389587402118.814651489258
25.882120.5254,25.882,120.5254,25.882120.5254
26.0423120.4882,26.0423,120.4882,26.0423120.4882
22.7058563232422120.571800231934,22.7058563232422,120.571800231934,22.7058563232422120.571800231934
25.5322856903076119.13697052002,25.5322856903076,119.13697052002,25.5322856903076119.13697052002
25.5608139038086119.033805847168,25.5608139038086,119.033805847168,25.5608139038086119.033805847168
22.7949123382568120.599395751953,22.7949123382568,120.599395751953,22.7949123382568120.599395751953
22.702600479126120.615142822266,22.702600479126,120.615142822266,22.702600479126120.615142822266
25.5193328857422119.148002624512,25.5193328857422,119.148002624512,25.5193328857422119.148002624512
25.5423011779785119.10595703125,25.5423011779785,119.10595703125,25.5423011779785119.10595703125
22.4058120.634,22.4058,120.634,22.4058120.634
25.5416564941406119.146026611328,25.5416564941406,119.146026611328,25.5416564941406119.146026611328
22.711784362793120.595977783203,22.711784362793,120.595977783203,22.711784362793120.595977783203
22.7387428283691120.654090881348,22.7387428283691,120.654090881348,22.7387428283691120.654090881348
25.5920352935791119.067207336426,25.5920352935791,119.067207336426,25.5920352935791119.067207336426
22.825120.5811,22.825,120.5811,22.825120.5811
22.7856120.5594,22.7856,120.5594,22.7856120.5594
22.6646120.5965,22.6646,120.5965,22.6646120.5965
22.7761120.5677,22.7761,120.5677,22.7761120.5677
22.7199287414551120.611923217773,22.7199287414551,120.611923217773,22.7199287414551120.611923217773
25.4568023681641119.125068664551,25.4568023681641,119.125068664551,25.4568023681641119.125068664551
24.9456120.1878,24.9456,120.1878,24.9456120.1878
24.9332120.2032,24.9332,120.2032,24.9332120.2032
22.8496437072754120.612983703613,22.8496437072754,120.612983703613,22.8496437072754120.612983703613
25.5046672821045119.153099060059,25.5046672821045,119.153099060059,25.5046672821045119.153099060059
22.9138120.5587,22.9138,120.5587,22.9138120.5587
25.5226535797119119.17805480957,25.5226535797119,119.17805480957,25.5226535797119119.17805480957
22.7877120.5381,22.7877,120.5381,22.7877120.5381
25.5281219482422119.169738769531,25.5281219482422,119.169738769531,25.5281219482422119.169738769531
25.5710983276367119.131309509277,25.5710983276367,119.131309509277,25.5710983276367119.131309509277
22.7174243927002120.649871826172,22.7174243927002,120.649871826172,22.7174243927002120.649871826172
25.4770774841309119.203437805176,25.4770774841309,119.203437805176,25.4770774841309119.203437805176
22.7753120.51,22.7753,120.51,22.7753120.51
22.7175369262695120.603775024414,22.7175369262695,120.603775024414,22.7175369262695120.603775024414
22.8693120.5136,22.8693,120.5136,22.8693120.5136
22.6136120.6027,22.6136,120.6027,22.6136120.6027
22.5836120.6093,22.5836,120.6093,22.5836120.6093
22.7841120.5415,22.7841,120.5415,22.7841120.5415
25.52268409729119.169532775879,25.52268409729,119.169532775879,25.52268409729119.169532775879
22.8259120.5718,22.8259,120.5718,22.8259120.5718
22.8523120.5991,22.8523,120.5991,22.8523120.5991
25.5257987976074119.168441772461,25.5257987976074,119.168441772461,25.5257987976074119.168441772461
25.5485515594482119.169441223145,25.5485515594482,119.169441223145,25.5485515594482119.169441223145
22.8882120.626,22.8882,120.626,22.8882120.626
22.8493120.6264,22.8493,120.6264,22.8493120.6264
25.6108245849609119.003288269043,25.6108245849609,119.003288269043,25.6108245849609119.003288269043
25.4916648864746119.225364685059,25.4916648864746,119.225364685059,25.4916648864746119.225364685059
22.7325553894043120.662406921387,22.7325553894043,120.662406921387,22.7325553894043120.662406921387
22.6171120.6508,22.6171,120.6508,22.6171120.6508
22.5758120.6562,22.5758,120.6562,22.5758120.6562
22.556120.6359,22.556,120.6359,22.556120.6359
22.624120.6446,22.624,120.6446,22.624120.6446
25.4892330169678119.173835754395,25.4892330169678,119.173835754395,25.4892330169678119.173835754395
