ROWNUM,X,Y,FEEDER
24.5394121.8697,24.5394,121.8697,24.5394121.8697
24.5309121.8987,24.5309,121.8987,24.5309121.8987
24.5254121.8775,24.5254,121.8775,24.5254121.8775
24.5666121.8684,24.5666,121.8684,24.5666121.8684
24.5551121.8791,24.5551,121.8791,24.5551121.8791
24.5554121.8818,24.5554,121.8818,24.5554121.8818
24.5686121.8666,24.5686,121.8666,24.5686121.8666
24.5599121.8746,24.5599,121.8746,24.5599121.8746
24.5137121.8727,24.5137,121.8727,24.5137121.8727
24.5654121.9004,24.5654,121.9004,24.5654121.9004
24.5654121.9004,24.5654,121.9004,24.5654121.9004
24.5687121.886,24.5687,121.886,24.5687121.886
24.5687121.886,24.5687,121.886,24.5687121.886
24.5469121.8838,24.5469,121.8838,24.5469121.8838
24.5904121.8976,24.5904,121.8976,24.5904121.8976
24.5759121.9124,24.5759,121.9124,24.5759121.9124
24.567121.908,24.567,121.908,24.567121.908
24.5769121.8999,24.5769,121.8999,24.5769121.8999
24.5917121.8851,24.5917,121.8851,24.5917121.8851
24.63121.9199,24.63,121.9199,24.63121.9199
24.63121.9199,24.63,121.9199,24.63121.9199
24.6323121.9183,24.6323,121.9183,24.6323121.9183
24.6363121.9336,24.6363,121.9336,24.6363121.9336
24.6363121.9336,24.6363,121.9336,24.6363121.9336
24.6782121.9312,24.6782,121.9312,24.6782121.9312
24.6825121.9255,24.6825,121.9255,24.6825121.9255
24.6709121.9158,24.6709,121.9158,24.6709121.9158
24.6725121.9137,24.6725,121.9137,24.6725121.9137
24.608121.8928,24.608,121.8928,24.608121.8928
24.5933121.9082,24.5933,121.9082,24.5933121.9082
24.6121121.9015,24.6121,121.9015,24.6121121.9015
24.6031121.9249,24.6031,121.9249,24.6031121.9249
24.5966121.9216,24.5966,121.9216,24.5966121.9216
24.6285121.9181,24.6285,121.9181,24.6285121.9181
24.6279121.9187,24.6279,121.9187,24.6279121.9187
24.6183121.9397,24.6183,121.9397,24.6183121.9397
24.6134121.9372,24.6134,121.9372,24.6134121.9372
24.6597121.9266,24.6597,121.9266,24.6597121.9266
24.6772121.9399,24.6772,121.9399,24.6772121.9399
24.6403121.96,24.6403,121.96,24.6403121.96
24.672121.9206,24.672,121.9206,24.672121.9206
24.6512121.9458,24.6512,121.9458,24.6512121.9458
24.6648121.929,24.6648,121.929,24.6648121.929
24.6612121.9265,24.6612,121.9265,24.6612121.9265
24.6632121.9271,24.6632,121.9271,24.6632121.9271
24.6572121.9347,24.6572,121.9347,24.6572121.9347
24.5337121.9035,24.5337,121.9035,24.5337121.9035
24.5432121.8773,24.5432,121.8773,24.5432121.8773
24.5111121.8637,24.5111,121.8637,24.5111121.8637
24.5106121.8642,24.5106,121.8642,24.5106121.8642
24.5252121.871,24.5252,121.871,24.5252121.871
24.4323121.8337,24.4323,121.8337,24.4323121.8337
24.4204121.8144,24.4204,121.8144,24.4204121.8144
24.5898121.9278,24.5898,121.9278,24.5898121.9278
24.608121.9082,24.608,121.9082,24.608121.9082
24.6123121.9102,24.6123,121.9102,24.6123121.9102
24.6057121.9106,24.6057,121.9106,24.6057121.9106
24.5823121.9175,24.5823,121.9175,24.5823121.9175
24.5823121.9175,24.5823,121.9175,24.5823121.9175
24.618121.9002,24.618,121.9002,24.618121.9002
24.6056121.9136,24.6056,121.9136,24.6056121.9136
24.6114121.9128,24.6114,121.9128,24.6114121.9128
24.6117121.9095,24.6117,121.9095,24.6117121.9095
24.6095121.9119,24.6095,121.9119,24.6095121.9119
24.6363121.9117,24.6363,121.9117,24.6363121.9117
24.6335121.9149,24.6335,121.9149,24.6335121.9149
24.6412121.9184,24.6412,121.9184,24.6412121.9184
24.601121.8909,24.601,121.8909,24.601121.8909
24.6002121.8905,24.6002,121.8905,24.6002121.8905
24.6074121.9128,24.6074,121.9128,24.6074121.9128
24.6074121.9128,24.6074,121.9128,24.6074121.9128
24.617121.9069,24.617,121.9069,24.617121.9069
24.6192121.9123,24.6192,121.9123,24.6192121.9123
24.6177121.9116,24.6177,121.9116,24.6177121.9116
24.6002121.9035,24.6002,121.9035,24.6002121.9035
24.6002121.9035,24.6002,121.9035,24.6002121.9035
24.5797121.8948,24.5797,121.8948,24.5797121.8948
24.6381121.9165,24.6381,121.9165,24.6381121.9165
24.6283121.912,24.6283,121.912,24.6283121.912
24.6483121.9308,24.6483,121.9308,24.6483121.9308
24.6531121.9331,24.6531,121.9331,24.6531121.9331
24.6327121.9236,24.6327,121.9236,24.6327121.9236
24.6327121.9236,24.6327,121.9236,24.6327121.9236
24.6347121.9236,24.6347,121.9236,24.6347121.9236
24.6157121.9342,24.6157,121.9342,24.6157121.9342
24.6987121.9846,24.6987,121.9846,24.6987121.9846
24.6767121.9384,24.6767,121.9384,24.6767121.9384
24.6877121.9338,24.6877,121.9338,24.6877121.9338
24.6861121.936,24.6861,121.936,24.6861121.936
24.6798121.9459,24.6798,121.9459,24.6798121.9459
24.631121.972,24.631,121.972,24.631121.972
24.6578121.9403,24.6578,121.9403,24.6578121.9403
24.6636121.9318,24.6636,121.9318,24.6636121.9318
24.6312121.9645,24.6312,121.9645,24.6312121.9645
24.6432121.9354,24.6432,121.9354,24.6432121.9354
24.6546121.9213,24.6546,121.9213,24.6546121.9213
24.6858121.9311,24.6858,121.9311,24.6858121.9311
24.686121.938,24.686,121.938,24.686121.938
24.6781121.9365,24.6781,121.9365,24.6781121.9365
24.6727121.9437,24.6727,121.9437,24.6727121.9437
24.6462121.9266,24.6462,121.9266,24.6462121.9266
24.6479121.9246,24.6479,121.9246,24.6479121.9246
24.7181121.988,24.7181,121.988,24.7181121.988
24.7489121.9888,24.7489,121.9888,24.7489121.9888
24.7561121.9719,24.7561,121.9719,24.7561121.9719
24.7562121.9859,24.7562,121.9859,24.7562121.9859
24.7446121.9964,24.7446,121.9964,24.7446121.9964
24.7184121.9798,24.7184,121.9798,24.7184121.9798
24.7306121.9764,24.7306,121.9764,24.7306121.9764
24.7301121.9772,24.7301,121.9772,24.7301121.9772
24.7175121.9867,24.7175,121.9867,24.7175121.9867
24.7043121.9392,24.7043,121.9392,24.7043121.9392
24.6598122.0014,24.6598,122.0014,24.6598122.0014
24.6608121.9879,24.6608,121.9879,24.6608121.9879
24.6826121.9472,24.6826,121.9472,24.6826121.9472
